"filename", "language", "Markdown", "comment", "blank", "total"
"c:\Users\ED M J\Documents\format atualizado 27-08-2023\format-atualizado-27-08-2023\format-atualizado-27-08-2023\README.md", "Markdown", 14, 0, 0, 14
"Total", "-", 14, 0, 0, 14
